ComplaintNo,Date,Complaint,Complaint Completed,Result
48623,6/22/2017 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,7/12/2017 12:00:00 AM,No violations found against towing company
48623,4/28/2017 12:00:00 AM,Complainant believes vehicle was wrognfully towed because of incorrect construction signage,5/12/2017 12:00:00 AM,no violations found against towing company
48623,4/19/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed from school parking lot,5/3/2017 12:00:00 AM,no violations found against towing company
48623,4/3/2017 12:00:00 AM,Complainant believes her car was wrongfully towed during street cleaning,4/14/2017 12:00:00 AM,no violations found against towing service
48623,2/1/2017 12:00:00 AM,Complainant believes her car was wrongfully towed from Wlagreens in East Boston,5/12/2017 12:00:00 AM,No towing violations found against company
48623,1/4/2017 12:00:00 AM,Complainant believes she was towed prior to times listed on parking sign,1/13/2017 12:00:00 AM,Complainant was refunded full amount of tow
52815,3/28/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,4/16/2019 12:00:00 AM,No violations found against towing company.
52576,12/16/2017 12:00:00 AM,Complainant believes he was overcharged for the storage on his towed vehicle.,1/10/2018 12:00:00 AM,Tower agreed to refund two days of storage charges
29860,11/14/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,12/19/2018 12:00:00 AM,Tower agreed to refund some of the towing bill.
29860,4/9/2018 12:00:00 AM,Complainant believes she was overcharged for recent vehicle tow.,4/27/2018 12:00:00 AM,Tower agreed to refund one day storage charge.
37919,10/31/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from city parking lot.,11/29/2018 12:00:00 AM,Tower reimbursed one day storage to complainant.
2303,5/12/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,8/15/2017 12:00:00 AM,"Tower agreed to refund half of storage fee since they don't have fenced, gated storage yard"
52445,6/26/2019 12:00:00 AM,Complanaint believes she was recently overcharged for a recent commercial tow from an mbta station.,6/26/2019 12:00:00 AM,Towing company was advised via e-mail that the initial towing amount was beyond that listed in towing statutes and they would need to refund difference.
52445,11/6/2017 12:00:00 AM,Insurance company questions amounts of vehicle recovery billing after accident.,12/19/2017 12:00:00 AM,Company agreed to refund overcharging for vehicle since it was a passenger plate and not commercial.
4009,12/18/2017 12:00:00 AM,Complainant believes she was overcharged for towign and storage of her vehicle,1/10/2018 12:00:00 AM,no violations found against towing company
4009,1/5/2017 12:00:00 AM,Complainant believes he was wrongfully towed,1/23/2017 12:00:00 AM,Complainant refunded amount for mathmatical error by company
5144,4/29/2019 12:00:00 AM,Complainant believes he was overcharged during recent involuntary tow.,5/17/2019 12:00:00 AM,No violations found for towing company.
52490,11/19/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,1/10/2019 12:00:00 AM,Tower refunded amount of tow.
52490,7/24/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,9/12/2018 12:00:00 AM,No violations found against towing company
52490,6/20/2018 12:00:00 AM,"*533 Lowell Mail Center
Complainant believes her vehicle was wrongfully towed",9/20/2018 12:00:00 AM,Tower agreed to refund difference in mileage overcharge.
52490,4/12/2018 12:00:00 AM,Complainant believes her car was damaged during an involuntary tow. Also wanted to submit towing complaint,,Complainant given tower's insurance information to begin claim process. Towing complaint submitted to tower
52490,3/31/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,5/4/2018 12:00:00 AM,No violations found against towing company
52490,2/6/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,5/4/2018 12:00:00 AM,"* Originally entered 02/21/2018*
No violations found against towing company."
2776,4/16/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from supermarket parking area.,4/25/2019 12:00:00 AM,no violations found against towing company
2776,11/19/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,11/26/2018 12:00:00 AM,Rental car without parking sticker. No violations found against towing company
2776,11/6/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a housing complex,11/14/2018 12:00:00 AM,No violations of state towing statutes were found.
2776,10/16/2017 12:00:00 AM,complainant believes her vehicle was towed incorrectly due to street cleaning,10/27/2017 12:00:00 AM,no violations found against towing company
2776,9/29/2017 12:00:00 AM,Complainant called in to argue about prices and treatment at towers location. Continually refused to accept explanations,9/27/2017 12:00:00 AM,"After contacting company, arranged towing bill to include only tow amount and storage."
2776,8/22/2017 12:00:00 AM,Complainant believes his company was wrongfully charged for accident clean up.,9/20/2017 12:00:00 AM,"Tower agreed to refund charges for clean up, labor and speedi dry at scene."
2776,1/23/2017 12:00:00 AM,Complainant believes he was wrongfully towed.,,no violations found against towing company
2776,,Complainant believes his car was wrongfully towed,,street cleaning tow. No violations found.
37482,6/8/2019 12:00:00 AM,Complianant believes he is being overcharged for a recent involuntary tow.,6/21/2019 12:00:00 AM,"Department received response from tower, explained that pricing needed to fall under 220 cmr 272. Tower redid bill, which was then submitted to complainant."
5182,10/30/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,12/5/2018 12:00:00 AM,Police ordered tow. No violations found against towing company.
2080,3/4/2019 12:00:00 AM,"Complainant claims that his vehicles were towed illegally in April, 2015",3/12/2019 12:00:00 AM,Complaint was determined to be a private concern best handled by either AG'a office or small claims. Complainant sent information for AG's office.
52633,12/4/2018 12:00:00 AM,Insurance company believes their client was overcharged for accident tow in June 2018.,12/14/2018 12:00:00 AM,Vehicle was impounded by Shirley Police. No violations fo towing statutes found against company.
52832,10/20/2017 12:00:00 AM,"Insurance company questions towers fees regarding rollover accident(storage, yard fees, collision wrap)",11/27/2017 12:00:00 AM,All fees were results of shop work done on rollover vehicle. No statutory violations found against towing company.
3640,2/6/2017 12:00:00 AM,Complainant believes he was overcharged for commercial tow. Requests detailed tow receipt,3/3/2017 12:00:00 AM,regulations adhered to during tow operation. No violations found
5451,6/7/2017 12:00:00 AM,Complainant believes he was overcharged for  recent involuntary tow,7/5/2017 12:00:00 AM,No violations found against tower
51937,7/27/2017 12:00:00 AM,complainant believes here vehicle was wrongfully towed,8/18/2017 12:00:00 AM,"Tow was called in by tenant for illegal parking, no violations."
33580,5/16/2017 12:00:00 AM,Insurance company believes their client was overcharged for a recent vehicle tow.,6/23/2017 12:00:00 AM,tower refunded labor charge amounts
33580,5/16/2017 12:00:00 AM,Insurance company believes their client was overcharged for a recent vehicle tow,6/23/2017 12:00:00 AM,tower refunded labor charge amounts
3000,3/2/2019 12:00:00 AM,Complainant believes she was wrongfully towed.,3/27/2019 12:00:00 AM,Tow amount refunded to complainant by towing company.
6301,6/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,6/29/2018 12:00:00 AM,Parking signs were posted. No violations found against tower
6301,1/25/2017 12:00:00 AM,Complainant believes he was incorrectly charged for his tow,6/6/2017 12:00:00 AM,tower agreed to refund money for mileage and half of fuel charged.
3780,3/28/2017 12:00:00 AM,complainant believes they were overcharged for a recent tow,5/15/2017 12:00:00 AM,No violations found against towing company
52806,9/6/2017 12:00:00 AM,Complainant believes he was overcharged for vehicle tow,11/10/2017 12:00:00 AM,no violations found against towing company
51605,12/15/2017 12:00:00 AM,complainant believes his vehicle was wrongfully towed,1/10/2018 12:00:00 AM,No violations found against tower.
51605,11/6/2017 12:00:00 AM,complainant believes he was overcharged for recent tow,12/15/2017 12:00:00 AM,Tower agreed to refund gate fee
51605,6/27/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed from a street corner,7/18/2017 12:00:00 AM,tower decided to rebate amount of tow
52274,2/12/2019 12:00:00 AM,Complainant believes she was wrongfully towed from an apartment complex.,3/13/2019 12:00:00 AM,Vehicle parked in fire lane according to tow company. No violations found.
52274,8/16/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,8/30/2018 12:00:00 AM,No violations found against tower
52274,7/30/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from church parking lot,8/21/2018 12:00:00 AM,No violations found against towing company
37745,5/9/2018 12:00:00 AM,Complainant believes his vehicle was wronguflly towed,6/8/2018 12:00:00 AM,no violations found against towing company
2748,12/2/2018 12:00:00 AM,Complainant believes he was overcharged during two involuntary tows in March 2017,2/19/2019 12:00:00 AM,no violations found against towing company.
2748,11/25/2018 12:00:00 AM,Complainant believes he was overcharged for storage during recent involutary tow.,12/14/2018 12:00:00 AM,"Property leased to Valley Towing for storage, no violations found."
2748,11/25/2018 12:00:00 AM,Complainant believes she was overcharged during a recent involuntary tow.,12/19/2018 12:00:00 AM,No violations found against towing company
2748,11/20/2018 12:00:00 AM,Complainant believes she was overcharged during recent involuntary tow.,12/7/2018 12:00:00 AM,"Tower refunded one day of storage, which was sent to Geico Insurance."
2748,10/22/2018 12:00:00 AM,Complainant believes she was overcharged during a recent involuntary tow.,11/9/2018 12:00:00 AM,No violations found against towing company.
2748,4/2/2018 12:00:00 AM,Complaint from March 2016 alleging mileage and fuel overcharges.,5/5/2018 12:00:00 AM,"*Originally entered on 04/11/2018*
No violations found against towing company"
2748,2/8/2018 12:00:00 AM,Complainant believes she was overcharged during a recent involuntary tow.,2/21/2018 12:00:00 AM,"*Originally entered 02/08/2018*
Tower agreed to partial refund"
2748,1/31/2018 12:00:00 AM,Complainant believes she was overcharged for police ordered tow.,2/21/2018 12:00:00 AM,"*Originally entered 02/08/2018*
No violations found against towing company."
2748,1/22/2018 12:00:00 AM,Complainant believes she was overcharged for storage during recent snow removal towing,2/1/2018 12:00:00 AM,Tower agreed to refund one day of storage charges
2748,1/22/2018 12:00:00 AM,Complainant believes he was overcharged for a recent snow related tow.,2/1/2018 12:00:00 AM,Tower agreed to refund one day of storage charges.
2748,1/22/2018 12:00:00 AM,Complainant believes he was overcharged for storage during recent snow removal towing,2/1/2018 12:00:00 AM,Tower agreed to refund half of one day storage charge.
2748,6/7/2017 12:00:00 AM,Complainant believes he was overcharged for an involuntary tow from December 2016,7/3/2017 12:00:00 AM,no violations found against tower
2748,,"**Originally entered on 04/02/2018*
Complainant is questioning fees from a recent vehicle tow.",4/27/2018 12:00:00 AM,No violations found against towing company.
2748,,Complainant questioning charges regarding off road recovery,4/27/2018 12:00:00 AM,"*Originally entered 04/02/2018*
No violations found against towing company"
2818,8/2/2018 12:00:00 AM,Complainant believes she was overcharged during a recent tow.,8/28/2018 12:00:00 AM,Tower agreed to refund difference between yard fee and labor fee for working on vehicle.
51792,10/24/2017 12:00:00 AM,complainant believes she was overcharged for towing of her vehicle.,11/7/2017 12:00:00 AM,no violations found against tower
48529,9/7/2018 12:00:00 AM,Complainant believes he was overcharged for a recent involuntary tow.,10/5/2018 12:00:00 AM,No violations found against towing company
48529,,Complainant believes they were overcharged for vehicle tow,,"Commerical tow, no violation found"
52813,7/3/2017 12:00:00 AM,Insurance company questions charges on two towing bills from clients.,7/26/2017 12:00:00 AM,Insurance company questioned inside storage rate. Tow company was ordered by police to impound vehicles for accident investigation. No violations found.
52624,6/2/2017 12:00:00 AM,Auto broker claims vehicle was not sold properly after being towed and stored,7/24/2017 12:00:00 AM,Department received documents concerning sale of vehicle and sent same to Independent Auto Sales
17846,9/26/2018 12:00:00 AM,Complainant believes he was overcharged for recent involuntary tow.,10/19/2018 12:00:00 AM,Tower agreed to refund mileage charges.
48906,5/13/2019 12:00:00 AM,Insurance company believes their client was overcharged from an accident related tow in 2017.,6/17/2019 12:00:00 AM,"Parties settled dispute between themselves, outside of DPU efforts."
37477,5/13/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from apartment complex parking lot.,6/8/2018 12:00:00 AM,tower furnished photos of parking area signs. No violations.
37477,4/10/2018 12:00:00 AM,complainant believes her father was overcharged for a recent snow related tow.,4/27/2018 12:00:00 AM,Tower agreed to refund administrative fee.
37477,12/5/2017 12:00:00 AM,Rental car company requested DPU to review charges for towing of rental car.,12/6/2017 12:00:00 AM,"Department contacted tower and explained that rental car has passenger plate, therefore 220 CMR 272 and storage rates apply in this instance. Tower agreed to revise invoice according to statutes"
17837,2/6/2017 12:00:00 AM,Complainant believes he was overcharged for a tow,2/13/2017 12:00:00 AM,"Vehicle owner requested tow to his business, which made this a private tow. No violations found against towing company"
3965,9/24/2018 12:00:00 AM,Company believes they were overcharged during recent involuntary tow.,10/16/2018 12:00:00 AM,no violations found against towing company.
3965,7/16/2017 12:00:00 AM,Complainant believes he was overcharged for a recent vehicle tow,8/21/2017 12:00:00 AM,Tower agreed to refund part of overcharged mileage and fuel.
2758,3/5/2019 12:00:00 AM,"Complainant believes he was wrongfully towed. Lovey's senet certified letter out. Looking into proper handling of tow, etc.",4/25/2019 12:00:00 AM,Trespass tow orderd by YMCA. No violations of towing statutes found against company.
35523,1/11/2019 12:00:00 AM,Complainant believes she was wrongfully towed from a church parking lot.,2/15/2019 12:00:00 AM,No towing violations found against company.
35523,1/4/2019 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,2/15/2019 12:00:00 AM,No towing violations found against company.
35523,10/22/2018 12:00:00 AM,"Complainant believes her car was towed during street cleaning, and also damaged.",11/14/2018 12:00:00 AM,Complainant given insurance information for D & D Towing. No violations of towing statutes against company.
35523,7/30/2018 12:00:00 AM,"Conplainant believes his vehicle was wrongfully towed in December, 2017",8/17/2018 12:00:00 AM,"Property owner requested tow, no violations found against towing company."
35523,7/25/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,8/17/2018 12:00:00 AM,no violations found against towing company
35523,9/19/2017 12:00:00 AM,complainant believes his car was wrongfully towed and side door was damaged,10/11/2017 12:00:00 AM,Tower decided to refund towing costs
6732,3/18/2019 12:00:00 AM,Insurance company believes client was overcharged for recent involuntary tow.,3/29/2019 12:00:00 AM,No towing violations found against company.
35764,4/19/2019 12:00:00 AM,Complainant believes he was overcharged during a recent acccident related tow.,5/20/2019 12:00:00 AM,No violations found against towing company.
23741,7/23/2018 12:00:00 AM,Complainant believes he was overcharged for a recent tow according to rates set in 220 cmr 272,8/6/2018 12:00:00 AM,Department request refund of overcharge on tow and mileage.
23741,10/26/2017 12:00:00 AM,Complainant believes he was overcharged for storage of his rental vehicle,11/7/2017 12:00:00 AM,Tower refunded difference for storage of rental car.
3584,5/16/2017 12:00:00 AM,Insurance company believes client was over charged for recent vehicle tow,6/7/2017 12:00:00 AM,Towing company explained charges. No violations found.
5012,8/22/2017 12:00:00 AM,Complainant believes he was overcharged for a commercial tow.,8/24/2017 12:00:00 AM,DPU explained limited statute authority in regards to commercial tows. Spoke with tower to have flatbed charges broken out and mileage charges reconfigured.
51826,9/29/2018 12:00:00 AM,"Complainant believes he was wrongfully charge for storage during an involuntary tow in September, 2018.
(Original complaint was misplaced in 09/18.)",2/22/2019 12:00:00 AM,No violations found against towing company.
51826,7/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed for trespassing,8/7/2018 12:00:00 AM,no violations found against towing company
1793,5/14/2018 12:00:00 AM,Complainant believes he was overcharged for recent involuntary tow.,5/21/2018 12:00:00 AM,No violations found against towing company
52431,5/3/2019 12:00:00 AM,Complainant believes he was overcharged for a recent involuntary tow.,6/24/2019 12:00:00 AM,Tower agreed to refund gate fee.
52431,4/29/2019 12:00:00 AM,Complainant believes he was overcharged for recent involuntary tow.,6/24/2019 12:00:00 AM,Tower agreed to refund gate fee
52431,2/7/2019 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,6/24/2019 12:00:00 AM,Tower agreed to refund gate fee.
52431,12/21/2018 12:00:00 AM,Complainant believes his rental vehicle was wrongfully towed,3/13/2019 12:00:00 AM,Tower agreed to refund gate fee
52431,11/6/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and he was overcharged.,12/5/2018 12:00:00 AM,Complainant states his complex has reimbursed him for tow. Towing company confirmed.
52431,7/2/2018 12:00:00 AM,Complainant believes he was overcharged during a recent involuntary tow.,10/11/2018 12:00:00 AM,Tower finally agreed to refunding gate fee and mileage.
52431,6/6/2018 12:00:00 AM,complainant believes his car was wronguflly towed and he was overcharged.,10/11/2018 12:00:00 AM,Tower finally agreed to refund mileage charges.
36007,6/2/2017 12:00:00 AM,Police officer believes the towing company overcharged for towing two motorcycles,7/12/2017 12:00:00 AM,tower agreed to refund overhcarges
48604,10/9/2018 12:00:00 AM,Complainant stated he could not get in touch with tower in order to retrieve commercial box truck.,10/17/2018 12:00:00 AM,Tower submitted confirmation of contact with complainant. Mr. Thompson was e-mailed contact information for tower as well as copy of towing statutes regarding commercial vehicles.
37625,3/13/2019 12:00:00 AM,Complainant believes he was overcharged for a recent tow.,3/27/2019 12:00:00 AM,no violations found against towing company.
37625,6/24/2018 12:00:00 AM,Complianant believes her vehicle was wrongfully towed in January 2018,7/20/2018 12:00:00 AM,No violations fouond against towing company
37625,3/27/2017 12:00:00 AM,Complainant was charged $100 drop fee at the scene of the tow,4/13/2017 12:00:00 AM,Tower refunded $55 to complainant
1884,3/16/2019 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from parking lot.,4/11/2019 12:00:00 AM,No violations of towing statutes found against company.
1884,3/12/2019 12:00:00 AM,Complainant believes she was wrongfully towed from auto body shop.,3/27/2019 12:00:00 AM,No towing violations found against company.
1884,3/7/2017 12:00:00 AM,complainant believes his car war wrongfully towed.,4/25/2017 12:00:00 AM,No violations found against towing company
16104,5/4/2017 12:00:00 AM,complainant believes vehicle was wrongfully towed,5/12/2017 12:00:00 AM,no violations found against towing company
52313,4/30/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a parking lot.,5/21/2019 12:00:00 AM,No violations found against towing company.
52313,11/17/2018 12:00:00 AM,Complainant believes his vehicle was wronguflly towed from a parking lot.,12/24/2018 12:00:00 AM,No violations found against towing company.
52313,10/22/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed as a trespass.,12/24/2018 12:00:00 AM,No violations found against tower.
52313,5/10/2018 12:00:00 AM,complainant believes he was overcharged for drop fee.,1/10/2019 12:00:00 AM,Tower finally agreed to refund overcharge on drop fee.
52313,2/24/2018 12:00:00 AM,"Complainant believes her vehicle was wrongfully towed.
**Originally entered into database on 02/21/2018**",12/25/2018 12:00:00 AM,No violations found against towing company.
52313,11/1/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed due to poor signage,12/24/2018 12:00:00 AM,No violations found against tower.
52313,3/17/2017 12:00:00 AM,Complainant believes her car was wrongfully towed in Allston,4/20/2017 12:00:00 AM,no violations found against towing company
52313,,Complainant believes he was wrongfully charged for tow,,"Complainant was parked in no parking zone, with commercial plates. No violation of statutes by company"
52146,5/29/2019 12:00:00 AM,Complainant believes he vehicle was wrongfully towed.,6/12/2019 12:00:00 AM,No violations found against towing company.
52146,5/24/2019 12:00:00 AM,Complainant believes her vehicle was wrongfully towed during street cleaning.,6/12/2019 12:00:00 AM,Vehicle towed for street cleaning. No violations found against towing company.
52146,5/22/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed due to water main emergency.,6/4/2019 12:00:00 AM,Tow ordered by Boston Police. No vilations found against towing company
52146,4/19/2019 12:00:00 AM,Complainant believes his vehicle was damaged during recent involuntary tow.,,Complainant given insurance information currently listed in database.
52146,7/10/2018 12:00:00 AM,Complainant believes he was overcharged for a drop fee during a recent involuntary tow.,7/26/2018 12:00:00 AM,Vehicle was towed down the street before released. No violations found againt towing company.
52146,6/28/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,7/18/2018 12:00:00 AM,No violations found against tower. Trespass on private property.
52146,6/19/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a parking lot.,7/31/2018 12:00:00 AM,No odometer readings recorded on slip. Towing company agreed to refund mileage amount.
